le,x,y,pol
9972,116,77,0
12529,113,97,0
12852,52,100,0
29365,53,101,1
1983,63,15,0
25143,55,68,1
25433,89,70,1
10033,49,78,0
13155,99,102,0
6211,67,48,0
7350,54,57,0
27635,115,87,1
26682,58,80,1
28145,113,91,1
657,17,5,0
27442,50,86,1
527,15,4,0
8484,36,66,0
20998,6,36,1
8370,50,65,0
13427,115,104,0
12130,98,94,0
25031,71,67,1
6519,119,50,0
23668,116,56,1
12781,109,99,0
11984,80,93,0
1273,121,9,0
20285,61,30,1
25299,83,69,1
24068,4,60,1
10223,111,79,0
29272,88,100,1
28399,111,93,1
530,18,4,0
275,19,2,0
30005,53,106,1
12576,32,98,0
6847,63,53,0
13617,49,106,0
10815,63,84,0
20800,64,34,1
6843,59,53,0
25032,72,67,1
13037,109,101,0
20099,3,29,1
26549,53,79,1
1882,90,14,0
14186,106,110,0
272,16,2,0
28089,57,91,1
25272,56,69,1
30153,73,107,1
12780,108,99,0
17855,63,11,1
7607,55,59,0
23548,124,55,1
9526,54,74,0
25702,102,72,1
29192,8,100,1
5415,39,42,0
20153,57,29,1
28922,122,97,1
3980,12,31,0
13923,99,108,0
29362,50,101,1
29747,51,104,1
21283,35,38,1
30053,101,106,1
29271,87,100,1
19388,60,23,1
13603,35,106,0
11320,56,88,0
6594,66,51,0
22537,9,48,1
26159,47,76,1
26476,108,78,1
1025,1,8,0
5306,58,41,0
22067,51,44,1
28637,93,95,1
19897,57,27,1
21563,59,40,1
21898,10,43,1
24305,113,61,1
8879,47,69,0
21770,10,42,1
7738,58,60,0
25028,68,67,1
26604,108,79,1
3897,57,30,0
28133,101,91,1
29364,52,101,1
10019,35,78,0
14049,97,109,0
7825,17,61,0
27182,46,84,1
8606,30,67,0
26543,47,79,1
10659,35,83,0
24315,123,61,1
10054,70,78,0
12909,109,100,0
29137,81,99,1
4536,56,35,0
22282,10,46,1
